Country,Date,TEKs,Cases
es,2020-06-01,0,0
es,2020-06-02,0,0
es,2020-06-03,0,0
es,2020-06-04,0,0
es,2020-06-05,0,0
es,2020-06-06,0,0
es,2020-06-07,0,0
es,2020-06-08,0,0
es,2020-06-09,0,0
es,2020-06-10,0,0
es,2020-06-11,0,0
es,2020-06-12,0,0
es,2020-06-13,0,0
es,2020-06-14,0,0
es,2020-06-15,0,0
es,2020-06-16,1,181
es,2020-06-17,0,0
es,2020-06-18,0,0
es,2020-06-19,0,0
es,2020-06-20,0,0
es,2020-06-21,0,0
es,2020-06-22,0,0
es,2020-06-23,3,232
es,2020-06-24,0,0
es,2020-06-25,0,0
es,2020-06-26,0,0
es,2020-06-27,0,0
es,2020-06-28,0,0
es,2020-06-29,6,301
es,2020-06-30,28,200
es,2020-07-01,37,301
es,2020-07-02,49,388
es,2020-07-03,62,444
es,2020-07-04,57,442
es,2020-07-05,58,0
es,2020-07-06,97,0
es,2020-07-07,108,1244
es,2020-07-08,142,341
es,2020-07-09,151,383
es,2020-07-10,86,543
es,2020-07-11,102,852
es,2020-07-12,101,0
es,2020-07-13,87,0
es,2020-07-14,80,2045
es,2020-07-15,73,666
es,2020-07-16,64,875
es,2020-07-17,28,1361
es,2020-07-18,21,1400
es,2020-07-19,21,0
es,2020-07-20,9,0
es,2020-07-21,2,4581
es,2020-07-22,2,1358
es,2020-07-23,1,1357
es,2020-07-24,1,2615
es,2020-07-25,1,2255
es,2020-07-26,1,0
es,2020-07-27,1,0
es,2020-07-28,0,0
es,2020-07-29,0,0
es,2020-07-30,0,0
es,2020-07-31,0,0
es,2020-08-01,0,0
es,2020-08-02,0,0
es,2020-08-03,0,0
es,2020-08-04,0,0
es,2020-08-05,0,0
es,2020-08-06,0,0
es,2020-08-07,0,0
es,2020-08-08,0,0
es,2020-08-09,0,0
es,2020-08-10,0,0
es,2020-08-11,0,0
es,2020-08-12,0,0
es,2020-08-13,0,0
es,2020-08-14,0,0
es,2020-08-15,0,0
es,2020-08-16,0,0
es,2020-08-17,0,0
es,2020-08-18,0,0
es,2020-08-19,0,0
es,2020-08-20,0,0
es,2020-08-21,0,0
es,2020-08-22,0,0
es,2020-08-23,0,0
es,2020-08-24,0,0
es,2020-08-25,0,0
es,2020-08-26,0,0
es,2020-08-27,72,7296
es,2020-08-28,59,9658
es,2020-08-29,49,9779
es,2020-08-30,59,0
es,2020-08-31,47,0
es,2020-09-01,46,23572
es,2020-09-02,52,8115
es,2020-09-03,51,8581
es,2020-09-04,52,8959
es,2020-09-05,56,10476
es,2020-09-06,54,0
es,2020-09-07,58,0
es,2020-09-08,61,26560
es,2020-09-09,60,8964
es,2020-09-10,68,8866
es,2020-09-11,75,10764
es,2020-09-12,67,12183
es,2020-09-13,75,0
es,2020-09-14,73,0
es,2020-09-15,82,27404
es,2020-09-16,119,9437
es,2020-09-17,139,11193
es,2020-09-18,165,11291
es,2020-09-19,203,14389
es,2020-09-20,218,0
es,2020-09-21,268,0
es,2020-09-22,282,31428
es,2020-09-23,296,10799
es,2020-09-24,286,11289
es,2020-09-25,284,10653
es,2020-09-26,339,12272
es,2020-09-27,315,0
es,2020-09-28,269,0
es,2020-09-29,265,31785
es,2020-09-30,294,0
es,2020-10-01,317,20922
es,2020-10-02,312,9419
es,2020-10-03,312,11325
es,2020-10-04,353,0
es,2020-10-05,350,0
es,2020-10-06,380,23480
es,2020-10-07,368,11998
es,2020-10-08,401,10491
es,2020-10-09,402,12423
es,2020-10-10,403,12788
es,2020-10-11,426,0
es,2020-10-12,445,0
es,2020-10-13,474,27856
es,2020-10-14,481,7118
es,2020-10-15,487,11970
es,2020-10-16,380,13318
es,2020-10-17,285,15186
es,2020-10-18,119,0
